label,z,y,x,frame,particle,type
1,9.10909090909091,197.62272727272727,14.409090909090908,0,0,pred
2,12.422077922077921,1260.021645021645,26.086580086580085,0,1,pred
3,10.208061002178649,720.2091503267974,29.864923747276688,0,2,pred
4,10.307575757575757,189.64848484848486,36.89848484848485,0,3,pred
5,9.965706447187928,469.60356652949247,59.960219478738,0,4,pred
6,30.614048934490924,589.4885556432517,73.68508287292818,0,5,pred
7,21.816901408450704,479.5,76.90492957746478,0,6,pred
8,9.951020408163265,291.30204081632655,80.10204081632654,0,7,pred
9,9.63551401869159,556.4710280373831,88.2392523364486,0,8,pred
10,9.688124306326305,242.88013318534962,92.05105438401776,0,9,pred
11,11.812629399585921,677.6853002070393,95.0031055900621,0,10,pred
12,28.94353963083605,1013.971769815418,113.72964169381108,0,11,pred
13,10.642553191489363,445.0954407294833,120.8516717325228,0,12,pred
14,24.362745098039216,582.8977591036414,124.02100840336135,0,13,pred
15,44.23287671232877,629.4109589041096,141.0376712328767,0,14,pred
16,10.268496420047732,415.9618138424821,160.23031026252983,0,15,pred
17,18.825742574257426,695.3980198019802,164.42970297029703,0,16,pred
18,20.731221719457015,17.018099547511312,181.8633484162896,0,17,pred
19,10.109375,397.6546875,194.75,0,18,pred
20,11.080862533692722,741.2129380053908,198.41239892183287,0,19,pred
21,29.710730948678073,915.5116640746501,199.67807153965785,0,20,pred
22,11.201634877384196,693.5231607629428,199.03542234332426,0,21,pred
23,11.83300198807157,689.2842942345925,203.05168986083498,0,22,pred
24,33.35849056603774,639.9283018867925,216.11698113207547,0,23,pred
25,33.89247311827957,645.415770609319,216.921146953405,0,24,pred
26,12.679794520547945,533.9965753424658,255.9931506849315,0,25,pred
27,10.25418060200669,1329.0267558528428,274.8494983277592,0,26,pred
28,11.856020942408376,386.3782722513089,303.82068062827227,0,27,pred
29,10.436399217221135,860.8512720156556,307.720156555773,0,28,pred
30,26.98429752066116,1062.2396694214876,319.26280991735536,0,29,pred
31,11.040828402366865,113.57869822485208,334.905325443787,0,30,pred
32,11.321227621483375,508.7606138107417,362.8859335038363,0,31,pred
33,11.652859960552268,598.9329388560158,362.31360946745565,0,32,pred
